State,District,Zone,Confirmed,Active,Recovered,Deceased
Andaman and Nicobar Islands,Nicobars,Green,0,0,0,0
Andaman and Nicobar Islands,North and Middle Andaman,Green,1,0,1,0
Andaman and Nicobar Islands,South Andaman,Red,51,19,32,0
Andaman and Nicobar Islands,Unknown,,7496,-13,7380,129
Andhra Pradesh,Anantapur,Orange,156673,247,155337,1089
Andhra Pradesh,Chittoor,Red,234198,2778,229637,1783
Andhra Pradesh,East Godavari,Orange,281384,3065,277087,1232
Andhra Pradesh,Foreign Evacuees,,434,0,434,0
Andhra Pradesh,Guntur,Red,169978,1605,167210,1163
Andhra Pradesh,Krishna,Red,111221,3111,106860,1250
Andhra Pradesh,Kurnool,Red,123525,216,122465,844
Andhra Pradesh,Other State,,2461,0,2461,0
Andhra Pradesh,Prakasam,Orange,131478,1470,128985,1023
Andhra Pradesh,S.P.S. Nellore,Red,136685,2591,133121,973
Andhra Pradesh,Srikakulam,Orange,121217,557,119891,769
Andhra Pradesh,Visakhapatnam,Orange,153395,544,151762,1089
Andhra Pradesh,Vizianagaram,Orange,81707,225,80813,669
Andhra Pradesh,West Godavari,Orange,171354,1422,168861,1071
Andhra Pradesh,Y.S.R. Kadapa,Orange,111341,586,110128,627
Arunachal Pradesh,Anjaw,Green,985,48,934,3
Arunachal Pradesh,Changlang,Green,3621,71,3530,20
Arunachal Pradesh,East Kameng,Green,1066,35,1031,0
Arunachal Pradesh,East Siang,Green,2936,102,2817,17
Arunachal Pradesh,Kamle,Green,460,60,400,0
Arunachal Pradesh,Kra Daadi,Green,256,7,249,0
Arunachal Pradesh,Kurung Kumey,Green,507,2,504,1
Arunachal Pradesh,Lepa Rada,Green,762,41,719,2
Arunachal Pradesh,Lohit,Green,2656,144,2486,26
Arunachal Pradesh,Longding,Green,728,14,712,2
Arunachal Pradesh,Lower Dibang Valley,Green,2147,89,2049,9
Arunachal Pradesh,Lower Siang,Green,703,50,645,8
Arunachal Pradesh,Lower Subansiri,Green,2610,333,2266,11
Arunachal Pradesh,Namsai,Green,1958,48,1895,15
Arunachal Pradesh,Pakke Kessang,Green,390,9,381,0
Arunachal Pradesh,Papum Pare,Green,17113,844,16182,87
Arunachal Pradesh,Shi Yomi,Green,221,25,196,0
Arunachal Pradesh,Siang,Green,393,27,363,3
Arunachal Pradesh,Tawang,Green,2283,115,2151,17
Arunachal Pradesh,Tirap,Green,1005,20,982,3
Arunachal Pradesh,Upper Dibang Valley,Green,290,26,262,2
Arunachal Pradesh,Upper Siang,Green,881,76,804,1
Arunachal Pradesh,Upper Subansiri,Green,1903,80,1817,6
Arunachal Pradesh,West Kameng,Green,3194,171,3010,13
Arunachal Pradesh,West Siang,Green,1725,51,1669,5
Assam,Airport Quarantine,,13,0,13,0
Assam,Baksa,Green,6013,5510,447,56
Assam,Barpeta,Green,11543,10368,1024,151
Assam,Biswanath,Green,8439,8010,379,50
Assam,Bongaigaon,Red,6222,5321,834,67
Assam,Cachar,Orange,23713,22029,1498,186
Assam,Charaideo,Green,3464,3312,105,47
Assam,Chirang,Green,2606,2353,219,34
Assam,Darrang,Green,10144,8315,1730,99
Assam,Dhemaji,Green,7248,6769,440,39
Assam,Dhubri,Orange,7856,6590,1215,51
Assam,Dibrugarh,Green,32973,30197,2409,367
Assam,Dima Hasao,Green,3091,2880,199,12
Assam,Goalpara,Orange,10532,9883,568,81
Assam,Golaghat,Green,21779,19914,1656,209
Assam,Hailakandi,Green,6079,4929,1116,34
Assam,Hojai,Green,7058,5795,1160,103
Assam,Jorhat,Green,23152,21134,1752,266
Assam,Kamrup,Green,31268,28948,2074,246
Assam,Kamrup Metropolitan,Orange,102179,86012,15370,797
Assam,Karbi Anglong,Green,6787,6131,552,104
Assam,Karimganj,Green,7690,6649,955,86
Assam,Kokrajhar,Green,5311,4898,353,60
Assam,Lakhimpur,Green,13925,12699,1135,91
Assam,Majuli,Green,1774,1686,80,8
Assam,Morigaon,Orange,12888,12264,557,67
Assam,Nagaon,Green,23628,20934,2506,188
Assam,Nalbari,Green,9612,8686,828,98
Assam,Other State,,153,152,1,0
Assam,Sivasagar,Green,9911,9278,473,160
Assam,Sonitpur,Green,19836,17905,1727,204
Assam,South Salmara Mankachar,Green,1839,1776,47,16
Assam,Tinsukia,Green,19387,17346,1798,243
Assam,Udalguri,Green,5418,4684,666,68
Assam,Unknown,,112271,-403731,514859,1143
Assam,West Karbi Anglong,Green,1233,1193,37,3
Bihar,Araria,Green,14958,8,14834,116
Bihar,Arwal,Orange,7377,8,7295,74
Bihar,Aurangabad,Orange,20009,0,19934,75
Bihar,Banka,Orange,7378,0,7266,112
Bihar,Begusarai,Orange,27181,7,26717,457
Bihar,Bhagalpur,Orange,25825,12,25504,309
Bihar,Bhojpur,Orange,10172,9,10004,159
Bihar,Buxar,Red,9248,0,9066,182
Bihar,Darbhanga,Orange,10897,27,10504,366
Bihar,East Champaran,Orange,19000,22,18548,430
Bihar,Gaya,Red,33937,6,33652,279
Bihar,Gopalganj,Orange,16671,1,16576,94
Bihar,Jamui,Green,9410,4,9300,106
Bihar,Jehanabad,Orange,10770,0,10661,109
Bihar,Kaimur,Orange,4983,0,4836,147
